y,z
0.246107,0.797335
0.246107,0.797335
0.250791,0.797352
0.256088,0.797939
0.262895,0.801323
0.266169,0.804791
0.271166,0.808951
0.275654,0.814991
0.280257,0.820222
0.285521,0.824215
0.292202,0.830567
0.300415,0.836314
0.306259,0.840876
0.310865,0.843891
0.316138,0.848446
0.322219,0.852897
0.328389,0.856093
0.335344,0.858876
0.342734,0.859443
0.350747,0.861161
0.358526,0.863549
0.364315,0.866462
0.371297,0.870596
0.379957,0.87399
0.386226,0.877294
0.393377,0.876763
0.399158,0.878863
0.405949,0.879165
0.412816,0.880087
0.418502,0.878436
0.424976,0.877432
0.430435,0.876013
0.436368,0.874314
0.442971,0.872144
0.450444,0.868698
0.456104,0.866821
0.462067,0.862974
0.467591,0.860406
0.471726,0.858412
0.47655,0.856566
0.480819,0.853444
0.482785,0.850971
0.485644,0.848996
0.49025,0.845359
0.493681,0.84157
0.495796,0.838704
0.496616,0.837938
0.497471,0.83483
0.497936,0.831858
0.49868,0.828171
0.499738,0.825737
0.500247,0.823277
0.49741,0.824388
0.495743,0.823581
0.494739,0.822101
0.494216,0.821984
0.494434,0.821663
0.495136,0.8201
0.495262,0.818527
0.495024,0.816074
0.495256,0.81487
0.494524,0.813624
0.494491,0.812313
0.493294,0.8109
0.493097,0.80881
0.492713,0.806999
0.492226,0.805528
0.491414,0.803666
0.491084,0.802715
0.490301,0.801962
0.490086,0.801571
0.489669,0.800837
0.489371,0.800321
0.489012,0.799859
0.488407,0.799978
0.488493,0.79943
0.488924,0.79896
0.48792,0.798596
0.487371,0.798785
0.48592,0.799177
0.485363,0.799472
0.485518,0.800277
0.486266,0.799896
0.485875,0.799475
0.485086,0.79974
0.484743,0.799832
0.484791,0.800386
0.484556,0.801151
0.484844,0.80051
0.485036,0.800796
0.172652,0.855227
0.172652,0.855227
0.173994,0.855176
0.177359,0.854548
0.180308,0.854412
0.182278,0.855686
0.184389,0.856448
0.189252,0.85617
0.195119,0.854344
0.198277,0.854873
0.202338,0.854859
0.205191,0.854816
0.209854,0.852187
0.213386,0.851874
0.215422,0.854096
0.221913,0.853717
0.227869,0.851617
0.234067,0.84854
0.240938,0.848986
0.244436,0.851099
0.24939,0.851846
0.255979,0.852613
0.261764,0.853263
0.268368,0.854389
0.275999,0.855781
0.281348,0.857305
0.28645,0.858845
0.291463,0.859294
0.297899,0.858339
0.302061,0.859022
0.308046,0.858004
0.31364,0.859949
0.317499,0.857696
0.324063,0.857946
0.328579,0.858419
0.334747,0.857844
0.338876,0.856975
0.344816,0.856517
0.350288,0.854068
0.353103,0.853611
0.3576,0.851947
0.366907,0.849389
0.371935,0.849447
0.377478,0.848327
0.383186,0.847173
0.388918,0.848317
0.394675,0.84741
0.400814,0.846976
0.406684,0.846665
0.412959,0.847619
0.419424,0.847657
0.423181,0.849226
0.429063,0.847237
0.4334,0.845412
0.437477,0.847229
0.441506,0.847101
0.446458,0.845885
0.451362,0.845044
0.454151,0.844776
0.456705,0.844633
0.459793,0.846247
0.462373,0.84434
0.46444,0.842245
0.465809,0.84175
0.467908,0.839711
0.469094,0.839146
0.471162,0.838516
0.474897,0.836675
0.476296,0.833737
0.478464,0.829924
0.480562,0.826819
0.482228,0.825335
0.483592,0.823013
0.482754,0.822124
0.482845,0.822043
0.483896,0.820108
0.487432,0.816833
0.485316,0.816414
0.483043,0.816676
0.4812,0.816588
0.479877,0.816237
0.479178,0.815221
0.478212,0.814332
0.478167,0.812835
0.477793,0.812373
0.477953,0.812084
0.478127,0.811964
0.478326,0.811362
0.47766,0.811185
0.477467,0.810192
0.168326,0.812983
0.168326,0.812983
0.1717,0.813568
0.174616,0.81469
0.179599,0.817082
0.184617,0.819304
0.188619,0.820094
0.191412,0.821099
0.196415,0.822253
0.202172,0.824185
0.206101,0.826265
0.208935,0.8286
0.212114,0.831914
0.215671,0.834427
0.216724,0.835025
0.221774,0.838157
0.222694,0.8391
0.229471,0.842638
0.231046,0.84323
0.240248,0.847623
0.24622,0.850585
0.252457,0.852472
0.25439,0.852827
0.259851,0.853177
0.266416,0.853752
0.273504,0.855875
0.274358,0.855918
0.279393,0.85686
0.284604,0.856672
0.289722,0.857433
0.293679,0.859345
0.299068,0.858498
0.303297,0.859045
0.30674,0.860349
0.311107,0.86242
0.314892,0.864275
0.318783,0.866426
0.325156,0.867373
0.328713,0.868299
0.333122,0.868362
0.336454,0.868623
0.342392,0.869099
0.347548,0.86719
0.351107,0.865058
0.355572,0.864065
0.360602,0.862923
0.364657,0.862829
0.370184,0.861943
0.375615,0.862264
0.379085,0.862615
0.381502,0.864108
0.384921,0.864618
0.387531,0.865284
0.393161,0.865772
0.396011,0.866223
0.398234,0.867116
0.400965,0.867536
0.40516,0.867513
0.408965,0.864673
0.410675,0.863313
0.41374,0.862437
0.41766,0.861443
0.421989,0.857422
0.424455,0.854143
0.428753,0.85263
0.433503,0.850286
0.436697,0.84795
0.440374,0.843343
0.442783,0.839063
0.445749,0.836537
0.447297,0.835129
0.44916,0.833424
0.450638,0.831914
0.4523,0.827987
0.456105,0.825889
0.457809,0.823649
0.459946,0.822501
0.462001,0.821832
0.46304,0.820659
0.464804,0.820079
0.466925,0.819559
0.469778,0.818303
0.472282,0.815874
0.47281,0.813168
0.473253,0.811839
0.472029,0.811307
0.473252,0.810122
0.473125,0.809
0.473416,0.807773
0.474969,0.805946
0.208148,0.852937
0.208148,0.852937
0.211773,0.855828
0.216974,0.855936
0.220471,0.859491
0.223086,0.862591
0.226383,0.864417
0.229326,0.865274
0.23364,0.86855
0.237142,0.870847
0.240501,0.872248
0.243573,0.873065
0.245859,0.872912
0.24924,0.873241
0.251839,0.874669
0.254484,0.876666
0.258422,0.877046
0.261365,0.877745
0.265483,0.880566
0.270536,0.883671
0.27546,0.884808
0.280615,0.885669
0.284555,0.886519
0.288319,0.887252
0.291289,0.888874
0.297692,0.888695
0.302798,0.888885
0.306871,0.888027
0.311458,0.887008
0.315346,0.886693
0.318333,0.886768
0.322259,0.886408
0.325438,0.885613
0.329024,0.886059
0.332447,0.884831
0.337194,0.883242
0.340178,0.881737
0.343045,0.880233
0.346813,0.879115
0.350784,0.877511
0.354752,0.876013
0.357739,0.875061
0.361366,0.873957
0.366491,0.871409
0.371167,0.868126
0.37552,0.866829
0.379406,0.866082
0.38284,0.862182
0.385928,0.859253
0.389848,0.857881
0.393228,0.856403
0.397634,0.854593
0.40279,0.854849
0.40715,0.853096
0.411297,0.850369
0.415318,0.849714
0.418714,0.849477
0.422231,0.849768
0.426424,0.849421
0.430761,0.847899
0.434164,0.845303
0.438237,0.844086
0.440767,0.843262
0.444149,0.843183
0.447103,0.843579
0.450823,0.842253
0.455941,0.840625
0.460746,0.839778
0.463928,0.840137
0.466934,0.837116
0.469568,0.834209
0.47203,0.833415
0.474522,0.831807
0.477296,0.831282
0.478104,0.831186
0.479555,0.829589
0.480085,0.827836
0.480118,0.825458
0.481647,0.822246
0.484231,0.820221
0.485476,0.819319
0.485463,0.817755
0.485145,0.815112
0.485362,0.812743
0.482551,0.812122
0.480624,0.811438
0.479304,0.81094
0.478056,0.810573
0.476624,0.810802
0.475495,0.81061
0.181612,0.80016
0.181612,0.80016
0.18337,0.800059
0.186812,0.801156
0.189611,0.803665
0.191512,0.805464
0.195215,0.805824
0.201569,0.806304
0.205223,0.808203
0.207782,0.811547
0.212641,0.813254
0.218406,0.815307
0.222519,0.81825
0.22656,0.820177
0.231293,0.822401
0.235807,0.824852
0.238214,0.82654
0.242332,0.829
0.248098,0.830611
0.251497,0.833211
0.255241,0.836821
0.25919,0.839509
0.26566,0.842687
0.272556,0.844335
0.27754,0.846358
0.282303,0.848156
0.289243,0.846602
0.291868,0.84706
0.300865,0.847074
0.30588,0.847225
0.310585,0.847023
0.315603,0.846672
0.32085,0.848488
0.324365,0.850171
0.329085,0.85101
0.333284,0.852348
0.337615,0.854941
0.344223,0.856204
0.347821,0.8572
0.351695,0.857912
0.357296,0.859938
0.363957,0.861788
0.369422,0.863431
0.374738,0.865027
0.379252,0.866471
0.385711,0.866996
0.390517,0.867596
0.395364,0.86949
0.399298,0.87079
0.401635,0.870701
0.407035,0.869388
0.411468,0.86877
0.416263,0.868223
0.420574,0.868405
0.425165,0.866239
0.430174,0.865114
0.433269,0.862391
0.438974,0.859236
0.443631,0.857788
0.446208,0.856674
0.448955,0.853287
0.452513,0.850792
0.455104,0.847709
0.459063,0.846118
0.4613,0.843018
0.463193,0.839634
0.466477,0.835017
0.468342,0.832759
0.471548,0.828428
0.472957,0.82564
0.474142,0.822293
0.475822,0.818366
0.477175,0.815919
0.479081,0.813736
0.477008,0.813882
0.476291,0.814466
0.477163,0.81253
0.477681,0.811405
0.478405,0.809996
0.478236,0.810103
0.478685,0.809711
0.478955,0.808473
0.478333,0.807047
0.478787,0.805884
0.478584,0.804743
0.47858,0.803942
0.479267,0.804132
0.478345,0.804532
0.480015,0.80379
0.480293,0.80408
0.194517,0.812163
0.194517,0.812163
0.199017,0.815326
0.204422,0.818601
0.207053,0.821076
0.20901,0.826082
0.211399,0.827632
0.21128,0.831659
0.212455,0.836688
0.216662,0.838398
0.218684,0.842354
0.22116,0.845618
0.222866,0.848851
0.225782,0.849896
0.230458,0.851611
0.234363,0.853327
0.237635,0.855616
0.242041,0.85806
0.246454,0.860897
0.249574,0.864878
0.256978,0.866339
0.262021,0.868119
0.267428,0.870419
0.273884,0.873516
0.278561,0.876312
0.282503,0.877504
0.286599,0.87874
0.28928,0.88155
0.293603,0.879746
0.298606,0.878721
0.303771,0.877846
0.307788,0.879089
0.312435,0.879529
0.317778,0.879472
0.323795,0.879309
0.327029,0.878181
0.331528,0.876621
0.336309,0.876026
0.341436,0.875533
0.346128,0.875343
0.350231,0.874878
0.354134,0.873495
0.356614,0.873544
0.359515,0.872473
0.364615,0.871752
0.367906,0.871414
0.370379,0.870284
0.372662,0.870305
0.377642,0.869247
0.382179,0.868621
0.386708,0.868118
0.390254,0.8663
0.392915,0.865667
0.398145,0.863506
0.401672,0.863276
0.406282,0.861266
0.411855,0.86022
0.41455,0.860034
0.417376,0.858804
0.42053,0.858396
0.424711,0.857196
0.428888,0.853627
0.431355,0.85219
0.434545,0.850123
0.438215,0.850302
0.440556,0.848621
0.443765,0.848083
0.446082,0.847842
0.448493,0.844987
0.451284,0.842108
0.453719,0.840133
0.456433,0.838483
0.4593,0.837796
0.461931,0.834681
0.463866,0.831656
0.467792,0.82796
0.469838,0.826777
0.472665,0.824779
0.474992,0.823079
0.475572,0.821512
0.475617,0.818922
0.47505,0.81911
0.474526,0.818801
0.475175,0.817103
0.476479,0.815083
0.478282,0.813554
0.478606,0.813082
0.479938,0.810975
0.481533,0.809163
0.482422,0.809034
0.191885,0.815524
0.191885,0.815524
0.195279,0.819883
0.198801,0.822938
0.203296,0.824798
0.207361,0.825474
0.209977,0.826095
0.210878,0.828931
0.212531,0.832637
0.215031,0.835212
0.217555,0.837041
0.219824,0.839088
0.22211,0.841661
0.224782,0.844429
0.227717,0.847754
0.231005,0.850442
0.236721,0.852405
0.242435,0.855536
0.245937,0.859247
0.250059,0.862158
0.254647,0.864815
0.259779,0.867357
0.265189,0.869952
0.270139,0.872556
0.274938,0.87491
0.279325,0.876539
0.28374,0.877611
0.289157,0.877669
0.294602,0.8775
0.299072,0.878081
0.302697,0.87838
0.307069,0.878478
0.312039,0.87821
0.316178,0.878342
0.31988,0.8793
0.323239,0.879307
0.326451,0.879432
0.330227,0.880055
0.334308,0.880413
0.337728,0.881033
0.340992,0.882013
0.345091,0.882483
0.348546,0.882242
0.350674,0.882259
0.354121,0.880729
0.35867,0.877984
0.362898,0.876705
0.367513,0.875592
0.372561,0.873737
0.378146,0.872013
0.381993,0.870482
0.384923,0.868822
0.388181,0.867153
0.391163,0.865424
0.395002,0.863987
0.398918,0.862152
0.402008,0.859726
0.405714,0.858137
0.410461,0.857033
0.414657,0.856188
0.418592,0.855354
0.422018,0.854227
0.424292,0.853059
0.426672,0.852389
0.430404,0.852384
0.43394,0.85281
0.436493,0.853173
0.439047,0.853054
0.441667,0.852515
0.444401,0.850671
0.446585,0.84824
0.44847,0.846139
0.450206,0.844721
0.451599,0.843848
0.453422,0.842789
0.45554,0.840854
0.457168,0.838571
0.457865,0.836939
0.458962,0.834903
0.460557,0.832966
0.461434,0.832044
0.462104,0.831779
0.463514,0.831231
0.465933,0.830035
0.467678,0.828504
0.468201,0.827256
0.467521,0.82684
0.466306,0.826592
0.466204,0.825447
0.466899,0.824265
0.199395,0.818831
0.199395,0.818831
0.203857,0.821005
0.208257,0.822286
0.211332,0.823974
0.215452,0.826765
0.219416,0.829602
0.222228,0.831003
0.226868,0.834591
0.230774,0.8364
0.235024,0.8376
0.237808,0.838658
0.240158,0.839264
0.242933,0.839699
0.243377,0.841878
0.243917,0.842429
0.24597,0.84425
0.248721,0.845605
0.251942,0.845733
0.256691,0.844637
0.259747,0.84486
0.264566,0.843821
0.267706,0.844309
0.27074,0.845494
0.275717,0.846068
0.280457,0.84625
0.284686,0.84437
0.289064,0.843413
0.294645,0.842867
0.29881,0.843144
0.301984,0.843516
0.307009,0.843942
0.310693,0.84545
0.314946,0.846732
0.319889,0.84796
0.325135,0.849096
0.330313,0.848278
0.334305,0.849081
0.338193,0.85003
0.342811,0.850139
0.347374,0.849553
0.35331,0.849388
0.357883,0.84911
0.363872,0.848786
0.370809,0.846419
0.377786,0.845301
0.385119,0.84486
0.391609,0.84437
0.397313,0.84372
0.403562,0.841549
0.409414,0.839522
0.413704,0.839099
0.419588,0.838037
0.425393,0.836205
0.42916,0.833623
0.434824,0.831478
0.438789,0.830444
0.439282,0.830325
0.444664,0.828749
0.448941,0.825905
0.450965,0.824231
0.453987,0.821369
0.457923,0.820244
0.45931,0.820375
0.461961,0.81965
0.464062,0.818595
0.465333,0.818122
0.466202,0.817568
0.467078,0.817674
0.46777,0.817665
0.468257,0.815637
0.470101,0.813989
0.469984,0.813408
0.470442,0.812639
0.471033,0.811802
0.472,0.810414
0.473445,0.808792
0.474764,0.80818
0.475415,0.807138
0.47549,0.806984
0.475289,0.80529
0.475611,0.80486
0.475397,0.803859
0.47539,0.803322
0.475396,0.80326
0.476722,0.802541
0.476793,0.802538
0.477028,0.802671
0.477025,0.802558
0.477608,0.80176
0.165033,0.825676
0.165033,0.825676
0.167904,0.825914
0.171309,0.827218
0.174794,0.832104
0.180996,0.838915
0.189175,0.843601
0.197594,0.848597
0.209162,0.854947
0.220256,0.861569
0.227325,0.866015
0.232464,0.86788
0.234371,0.868745
0.234353,0.868863
0.232826,0.869077
0.227261,0.863597
0.223591,0.85881
0.219841,0.855041
0.215517,0.852327
0.2149,0.849539
0.216925,0.848405
0.217938,0.844863
0.219783,0.84161
0.226052,0.840747
0.230284,0.840024
0.23735,0.838099
0.246311,0.838933
0.252973,0.840921
0.259174,0.841415
0.268766,0.841058
0.275389,0.841488
0.282466,0.844243
0.289021,0.846022
0.293724,0.847994
0.301082,0.850614
0.305371,0.853497
0.311222,0.854056
0.317039,0.855366
0.320353,0.856368
0.325952,0.858561
0.330343,0.860612
0.335808,0.8604
0.340062,0.861201
0.344416,0.861798
0.351031,0.865093
0.356013,0.868224
0.361825,0.870055
0.367487,0.870565
0.37181,0.870407
0.378035,0.871323
0.383552,0.87239
0.388581,0.872943
0.392715,0.874205
0.398355,0.874513
0.40225,0.874937
0.405918,0.874822
0.410492,0.87335
0.415538,0.872378
0.418612,0.8719
0.422057,0.871996
0.425458,0.871157
0.429796,0.869654
0.434298,0.869768
0.437706,0.869534
0.440601,0.867853
0.443639,0.866046
0.446337,0.864778
0.448376,0.864076
0.450735,0.861876
0.45236,0.860124
0.455335,0.857439
0.45889,0.855221
0.46098,0.854112
0.463843,0.852545
0.465359,0.848906
0.467616,0.846334
0.470273,0.843392
0.472453,0.841536
0.472975,0.840558
0.474385,0.840038
0.475954,0.838074
0.47649,0.834278
0.477851,0.831471
0.478003,0.829521
0.479883,0.828134
0.48097,0.827388
0.482087,0.826287
0.482526,0.823732
0.479399,0.823356
0.478453,0.822441
0.172855,0.822919
0.172855,0.822919
0.176611,0.822541
0.184366,0.823588
0.188859,0.823583
0.191315,0.82424
0.193277,0.825419
0.194274,0.826637
0.19532,0.825726
0.197543,0.827509
0.199565,0.827375
0.20112,0.827581
0.203086,0.830578
0.205805,0.831773
0.208313,0.831106
0.209505,0.831867
0.209746,0.83241
0.211547,0.833248
0.21517,0.833616
0.220357,0.833873
0.222288,0.837999
0.226419,0.839113
0.232405,0.839812
0.235286,0.841007
0.237124,0.839503
0.241398,0.837547
0.246768,0.838385
0.24936,0.839026
0.251261,0.841219
0.253088,0.842358
0.255572,0.842626
0.258713,0.842609
0.261816,0.842807
0.266238,0.843263
0.268749,0.843863
0.271169,0.842719
0.276491,0.842216
0.279018,0.842928
0.281445,0.843975
0.28681,0.845244
0.290706,0.845928
0.294579,0.846528
0.299408,0.846097
0.30426,0.844274
0.307035,0.844615
0.312322,0.843658
0.316719,0.843022
0.319046,0.843566
0.322617,0.842772
0.328147,0.843084
0.332229,0.844708
0.337002,0.844716
0.341177,0.845007
0.345256,0.845549
0.351718,0.843479
0.35725,0.841747
0.363517,0.841146
0.367519,0.839667
0.374171,0.837494
0.380502,0.835415
0.386064,0.833458
0.390957,0.832367
0.394205,0.831502
0.397452,0.832697
0.401568,0.830357
0.406002,0.831726
0.40984,0.830965
0.412123,0.830277
0.414956,0.829709
0.417459,0.830617
0.419731,0.828967
0.42126,0.82854
0.423708,0.827915
0.426507,0.827202
0.428516,0.824847
0.431756,0.822303
0.4352,0.820628
0.437988,0.819366
0.440629,0.819025
0.443437,0.818927
0.446423,0.816105
0.449219,0.813837
0.45146,0.811564
0.453119,0.810792
0.457252,0.809801
0.458736,0.810258
0.458367,0.810614
0.458958,0.809903
0.458342,0.811716
0.458617,0.811424
